,Build,&,Fix,Waterfall,Evolutionary,RAD,Iterative,Spiral,
Resource,0,0,1,1,1,1,,,
Time,0,1,0,0,0,0,,,
User,Effort,0,0,1,1,0,1,,
Economic,Costs,0,1,1,1,0,0,,
Likeability,0,1,0,0,1,1,,,
Convenience,0,0,1,1,0,0,,,
Aesthetics,0,0,1,0,1,1,,,
Task,accomplishment,0,0,1,1,1,1,,
Operability,1,1,1,1,1,1,,,
Extensibility,0,1,0,1,0,0,,,
Reusability,0,0,0,1,0,1,,,
Scalability,0,1,1,0,0,1,,,
Approachability,1,1,0,0,0,0,,,
Utility,0,1,1,1,1,1,,,
Faithfulness,0,0,1,0,0,1,,,
Cultural,universality,0,0,1,0,1,1,,
Useful,user,task,O/p,0,0,1,0,0,1
Learnability,1,1,1,1,1,1,,,
Memorability,0,0,0,1,1,1,,,
Comprehensibility,1,1,0,1,1,0,,,
Consistency,0,0,0,0,1,1,,,
Safety,0,1,1,1,1,1,,,
Error,Tolerance,0,0,0,0,1,1,,
